,Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date
52,"GUNUNG TANGKUBAN PERAHU ERUPSI

Kawasan wisata Gunung Tangkuban Parahu ditutup sementara pascaerupsi pada Jumat (26… https://t.co/Au3KvHkmE5",Rakhmat Arif,1199,192,"Mojokerto, East Java",False,0,0,2019-07-27 12:38:09
53,"Erupsi Gunung Tangkubanparahu Tak Pengaruhi Sesar Lembang, Jangan Terbius Hoaks https://t.co/OjmJ1tSqrB https://t.co/qibucNKa0d",Nanang Khaerul Anwar,131108,964,indonesia,False,0,0,2019-07-27 12:37:07
54,@NEZTAUTV @jehansesya @onyourIap @aarukim @kilanindita @idiosynchratic @pheranthes @jelukarnawa Berbeda dengan bias… https://t.co/TLeasCfdXN,Arkan.,9384,189,JKT - BDG,False,0,0,2019-07-27 12:35:55
55,"RT @baznasindonesia: DIBUTUHKAN RIBUAN  MASKER UNTUK TERDAMPAK ERUPSI GUNUNG TANGKUBAN PARAHU 

Gunung Tangkuban Parahu di Provinsi Jawa Ba…",#DamaidanKasihSayang,11416,335,"Bogor, West Java, Indonesia",False,0,0,2019-07-27 12:35:31
56,"Dapat kesaksian dari warga, Waktu Gunung Tangkuban Parahu erupsi, laskar FPI dulu yg terlihat sibuk di lokasi evaku… https://t.co/mHvEHXA2th",Black 'Yudhistira',10488,1168,Indonesia,False,0,0,2019-07-27 12:31:34
57,"Rekam Video Detik-detik #Erupsi Gunung #TangkubanParahu dari Jarak Dekat, Sikap Pria Ini Tuai Pujian https://t.co/4ZxYnhyYgY via @tribunnews",TRIBUNnews.com,587819,768154,Indonesia,False,3,1,2019-07-27 12:29:29
58,Ridwan Kamil juga meminta wisatawan dan masyarakat untuk tidak mendekati gunung Tangkuban Parahu dan tidak menyebar… https://t.co/AcctBnkaMB,Oomph,1286,33,Jakarta,False,0,0,2019-07-27 12:26:50
59,RT @ElshintaDotcom: Gubernur Jawa Barat M Ridwan Kamil meminta kepada seluruh warga agar tidak menyebarkan hoaks terkait peristiwa erupsi G…,"""REVOLUSI Nasi Goreng 24"" Presiden MCA⭐",13475,502,Jakarta.Nusantara 01,False,0,1,2019-07-27 12:06:36
60,"RT @backpacker_tch: Innalillahi wainnailaihi rojiun.
Kami keluarga besar Backpacker Teaching turut berduka atas terjadinya bencana alam eru…",Arief Tirtana,42550,477,Tanah Air Ku INDONESIA,False,0,7,2019-07-27 12:04:40
61,Gubernur Jawa Barat M Ridwan Kamil meminta kepada seluruh warga agar tidak menyebarkan hoaks terkait peristiwa erup… https://t.co/Dj3HH43PI3,Elshinta News Online,192409,27303,Indonesia,False,1,1,2019-07-27 12:04:13
62,"RT @NEZTAUTV: #NEZTBreakingNews
📍The East Kuningan, Gunung Tangkuban Parahu Bandung.
July, 27th 2019.
BREAKING NEWS: Gunung Tangkuban Parah…",Hazel Ghazwani F.,33192,271,BDG — JKT.,False,0,15,2019-07-27 11:54:42
63,"RT @fahiraidris: 1. INFORMASI ERUPSI Gunung TANGKUBAN PARAHU

Telah terjadi erupsi G. Tangkuban Parahu, Jawa Barat pada tanggal 26 Juli 201…",Tile lanay,26736,509,Jati asih Bekasi,False,0,196,2019-07-27 11:54:41
64,"RT @NEZTAUTV: #NEZTBreakingNews
📍The East Kuningan, Gunung Tangkuban Parahu Bandung.
July, 27th 2019.
BREAKING NEWS: Gunung Tangkuban Parah…",Jehan.,5272,71,ON TS. ,False,0,15,2019-07-27 11:48:15
65,"RT @merapi_news: Gunung Tangkuban Parahu jam 17:00 erupsi
#tabgkubanparahuerupsi https://t.co/j4bRU4hz9x |@JamilFaisal4",Bukan Rom Abal-Abal,9418,245,"Sleman, Indonesia",False,0,198,2019-07-27 11:41:48
66,"Gunung Tangkuban Parahu Erupsi, Emil Imbau Masyarakat Tidak Panik https://t.co/2C4qHGZVKO",Bandungnewsphoto.com,54710,5629,"Bandung, West Java, Indonesia",False,0,0,2019-07-27 11:41:36
67,"Erupsi Gunung Tangkuban Parahu Tak Pengaruhi Sesar Lembang, Jangan Terbius Hoaks https://t.co/K0fwlcWmEH https://t.co/HGUjx9LBHW",Pikiran Rakyat,246053,405249,"Bandung, Jawa Barat",True,5,0,2019-07-27 11:35:47
68,#Nasional #ErupsiTangkubanPerahu #GunungTangkubanPerahu Erupsi Gunung Tangkuban Parahu Tak Pengaruhi Aktivitas Sesa… https://t.co/W0Gsz0ImFR,sulselsatu.com,30599,583,"South Sulawesi, Indonesia",False,0,0,2019-07-27 11:33:37
69,"Gunung Tangkuban Parahu Erupsi, Emil Imbau Masyarakat Tidak Panik https://t.co/luDtbCeBBJ",Seputar Bandung Raya,37258,2101,"Bandung, West Java",False,0,0,2019-07-27 11:33:06
70,RT @liputan6dotcom: Ikuti terus perkembangan berita seputar Gunung Tangkuban Perahu erupsi di sini https://t.co/3I16FTqlfN https://t.co/jiu…,Arif Jmc,456,50,,False,0,11,2019-07-27 11:32:23
71,RT @Divisi_PB_PMI: Malam ini 10 personil Satgana @palangmerah Kota Cimahi siaga dan berkoordinasi dengan BPBD Kota Cimahi di kantor BPBD Ko…,Arifin Muh. Hadi,8943,1081,Jakarta - Indonesia,False,0,3,2019-07-27 11:31:23
72,"RT @fahiraidris: 1. INFORMASI ERUPSI Gunung TANGKUBAN PARAHU

Telah terjadi erupsi G. Tangkuban Parahu, Jawa Barat pada tanggal 26 Juli 201…",Titi Pohan,1041,82,,False,0,196,2019-07-27 11:19:31
73,"*[PRAY FOR TANGKUBAN PARAHU]*

Bismillahirrahmanirahim.....
Assalamu'alaikum warahmatullahi wabarakatuh...
.
*Salam… https://t.co/gyjLNLYuUU",BEM FMIPA Untan,506,309,Pontianak,False,0,0,2019-07-27 11:17:17
74,"Gunung Tangkuban Parahu Erupsi, SPBU Pertamina Tetap Beroperasi

https://t.co/fONVKudZ13",SeputariNewsRCTI,87104,438977,MNC News Center Lt.11 Jakarta,True,0,0,2019-07-27 11:15:00
75,"RT @fahiraidris: 1. INFORMASI ERUPSI Gunung TANGKUBAN PARAHU

Telah terjadi erupsi G. Tangkuban Parahu, Jawa Barat pada tanggal 26 Juli 201…",M A Mabruri,160,0,,False,0,196,2019-07-27 11:13:54
76,"RT @fahiraidris: 1. INFORMASI ERUPSI Gunung TANGKUBAN PARAHU

Telah terjadi erupsi G. Tangkuban Parahu, Jawa Barat pada tanggal 26 Juli 201…",Vhen de shopyan 99,1854,163,"Jawa Barat, Indonesia",False,0,196,2019-07-27 11:12:21
77,"RT @tsuroiya: Yang mau berkunjung ke Gunung Tangkuban Perahu, sementara musti sabar ya.. tunggu sampe situasinya aman dulu. Better safe tha…",Bento Falssabie.,3995,246,"Cikarang, Indonesia",False,0,2,2019-07-27 11:12:18
78,"RT @backpacker_tch: Innalillahi wainnailaihi rojiun.
Kami keluarga besar Backpacker Teaching turut berduka atas terjadinya bencana alam eru…",Aku itu,3062,122,Gatau,False,0,7,2019-07-27 11:11:00
79,#PopulerB1 6: Breaking News: Gunung Tangkuban Parahu Erupsi https://t.co/cIfS89Ymhe,BeritaSatu,765271,565278,Jakarta,True,0,0,2019-07-27 11:00:24
80,"Ini video amatir Detik2 Gunung Tangkuban Parahu erpusi, AllohuAkbar!!
.
.
#TerasMudaCianjur #gunungtangkubanperahu… https://t.co/L295UPQddD",Teras Muda Cianjur,1860,66,"Cianjur, Indonesia",False,0,0,2019-07-27 10:53:37
81,"RT @fahiraidris: 1. INFORMASI ERUPSI Gunung TANGKUBAN PARAHU

Telah terjadi erupsi G. Tangkuban Parahu, Jawa Barat pada tanggal 26 Juli 201…",wilman_aja16,2543,10,,False,0,196,2019-07-27 10:47:30
82,Pasca erupsi kawasan Taman Wisata Alam Gunung Tangkuban Parahu ditutup tiga hari https://t.co/TfQkuQeq80 https://t.co/FxFDy6Z4h3,Libass News,401,49,Jakarta Capital Region,False,0,0,2019-07-27 10:46:15
83,"RT @IpungLombok: Berdasarkan informasi dari Pusat Vulkanologi dan Mitigasi Bencana Geologi (PVMBG), telah terjadi erupsi Gunung Tangkuban P…",Farhan,2902,102,,False,0,34,2019-07-27 10:42:18
84,Juru kunci Abah Yaya berharap Gunung Tangkuban Parahu segera kembali normal. https://t.co/ifhCzfgSfw,kumparan,280230,182488,Jakarta Capital Region,True,2,2,2019-07-27 10:38:37
85,RT @detikcom: Gunung Tangkuban Parahu erupsi dan dikabarkan meletupkan abu vulkanik. #gunungtangkubanperahu #erupsi  https://t.co/TLrJflSGYd,Freza Arumbinang,5072,259,Jakarta Indonesia,False,0,313,2019-07-27 10:33:32
86,https://t.co/107jbBgl9K,Cristian,3613,19,Indonesia,False,0,0,2019-07-27 10:32:51
87,"RT @NEZTAUTV: #NEZTBreakingNews
📍The East Kuningan, Gunung Tangkuban Parahu Bandung.
July, 27th 2019.
BREAKING NEWS: Gunung Tangkuban Parah…",Haris.,3260,170,"DKI Jakarta, Indonesia",False,0,15,2019-07-27 10:32:29
88,"RT @fahiraidris: 1. INFORMASI ERUPSI Gunung TANGKUBAN PARAHU

Telah terjadi erupsi G. Tangkuban Parahu, Jawa Barat pada tanggal 26 Juli 201…",edi julijanto,13432,443,,False,0,196,2019-07-27 10:30:57
89,https://t.co/GWh9tHBGMx,Cristian,3613,19,Indonesia,False,0,0,2019-07-27 10:24:52
90,https://t.co/4WuQaSlXLu,Cristian,3613,19,Indonesia,False,0,0,2019-07-27 10:24:09
91,"RT @RadioElshinta: Kapolda Jabar, Irjen Pol Rudy Sufahriadi meninjau lokasi kawasan wisata Gunung Tangkuban Parahu, pasca-erupsi, Jumat (26…",Fauzy Is My Name,15429,229,Indonesia,False,0,5,2019-07-27 10:21:19
92,"RT @RadioElshinta: Kapolda Jabar, Irjen Pol Rudy Sufahriadi : Pasca-erupsi, kegiatan wisatawan maupun pengelolah di kawasan wisata Gunung T…",Fauzy Is My Name,15429,229,Indonesia,False,0,3,2019-07-27 10:21:13
93,"RT @NEZTAUTV: #NEZTBreakingNews
📍The East Kuningan, Gunung Tangkuban Parahu Bandung.
July, 27th 2019.
BREAKING NEWS: Gunung Tangkuban Parah…",Rasha A. Halim,36552,166,JKT-urheart❤,False,0,15,2019-07-27 10:15:39
94,"RT @NEZTAUTV: #NEZTBreakingNews
📍The East Kuningan, Gunung Tangkuban Parahu Bandung.
July, 27th 2019.
BREAKING NEWS: Gunung Tangkuban Parah…",Hugo A. Adyrasha,8146,330,"Jakarta Selatan, DKI Jakarta",False,0,15,2019-07-27 10:15:21
95,"26-7-19
Erupsi gunung Tangkuban Parahu
16km dr tempatku 😟
Asapnya jg keliatan jelas bgt dr apotek
Semoga jd penging… https://t.co/QkvaYqxgXw",indah sekar santi,1521,475,Jambi,False,0,0,2019-07-27 10:07:20
96,"RT @OfficialiNewsTV: Gunung Tangkuban Parahu Berpotensi Erupsi Susulan, Ini Rekomendasi PVMBG

https://t.co/HqWHht8XHd",Yolanda,67551,643,,False,0,2,2019-07-27 10:05:00
97,Kepolisian Daerah Jawa Barat memutuskan untuk menutup kawasan Taman Wisata Alam Gunung Tangkuban Parahu selama tiga… https://t.co/pdb8Jl1Ooh,Elshinta News Online,192409,27303,Indonesia,False,0,0,2019-07-27 10:04:43
98,RT @Kemenpar_RI: Pernyataan Resmi Kementerian Pariwisata tentang Erupsi Gunung Tangkuban Parahu https://t.co/ixxXPNUsK6,Pita Ratna Sari,60179,778,"Bandung, West Java, Indonesia.",False,0,12,2019-07-27 10:02:37
99,"RT @NEZTAUTV: #NEZTBreakingNews
📍The East Kuningan, Gunung Tangkuban Parahu Bandung.
July, 27th 2019.
BREAKING NEWS: Gunung Tangkuban Parah…",Gadi Ram Mandruga,14416,158,,False,0,15,2019-07-27 10:01:28
